method,freq,rank
Lspec/benchmarks/compress/Compress;::performAction,50Hz,1.0
Lspec/benchmarks/compress/Decompressor;::decompress,50Hz,2.0
Lspec/benchmarks/compress/Compressor;::output,50Hz,3.0
native_write_msr,50Hz,4.0
native_sched_clock,50Hz,5.0
updateBytesCRC32,50Hz,6.0
native_queued_spin_lock_slowpath,50Hz,7.0
perf_adjust_freq_unthr_context,50Hz,8.0
pv_native_write_cr2,50Hz,9.0
nmi_restore,50Hz,10.0
__memmove_sse2_unaligned_erms,50Hz,11.0
SpinPause,50Hz,12.0
sched_clock,50Hz,13.0
nmi_handle,50Hz,14.0
native_read_msr,50Hz,15.0
arrayof_jint_fill,50Hz,16.0
exc_nmi,50Hz,17.0
default_do_nmi,50Hz,18.0
end_repeat_nmi,50Hz,19.0
nmi_cpu_backtrace,50Hz,20.0
__memset_evex_unaligned_erms,50Hz,30.0
intel_bts_enable_local,50Hz,34.0
native_read_msr_safe,50Hz,25.0
"CardTableExtension::scavenge_contents_parallel(ObjectStartArray*, MutableSpace*, HeapWord*, PSPromotionManager*, unsigned int, unsigned int)",50Hz,22.0
xhci_ring_ep_doorbell,50Hz,
native_irq_return_iret,50Hz,50.0
sync_regs,50Hz,31.0
__intel_pmu_enable_all.constprop.0,50Hz,38.0
intel_pmu_handle_irq,50Hz,106.0
"ObjectStartArray::object_starts_in_range(HeapWord*, HeapWord*) const",50Hz,29.0
psi_group_change,50Hz,121.0
Lspec/benchmarks/compress/Compress;::performAction,250Hz,1.0
Lspec/benchmarks/compress/Decompressor;::decompress,250Hz,2.0
Lspec/benchmarks/compress/Compressor;::output,250Hz,3.0
native_write_msr,250Hz,4.0
native_sched_clock,250Hz,67.0
updateBytesCRC32,250Hz,5.0
native_queued_spin_lock_slowpath,250Hz,6.0
perf_adjust_freq_unthr_context,250Hz,7.0
pv_native_write_cr2,250Hz,65.0
nmi_restore,250Hz,90.0
__memmove_sse2_unaligned_erms,250Hz,12.0
SpinPause,250Hz,8.0
sched_clock,250Hz,113.0
nmi_handle,250Hz,
native_read_msr,250Hz,9.0
arrayof_jint_fill,250Hz,10.0
exc_nmi,250Hz,378.0
default_do_nmi,250Hz,
end_repeat_nmi,250Hz,
nmi_cpu_backtrace,250Hz,
__memset_evex_unaligned_erms,250Hz,11.0
intel_bts_enable_local,250Hz,13.0
native_read_msr_safe,250Hz,14.0
"CardTableExtension::scavenge_contents_parallel(ObjectStartArray*, MutableSpace*, HeapWord*, PSPromotionManager*, unsigned int, unsigned int)",250Hz,15.0
xhci_ring_ep_doorbell,250Hz,16.0
native_irq_return_iret,250Hz,17.0
sync_regs,250Hz,18.0
__intel_pmu_enable_all.constprop.0,250Hz,19.0
intel_pmu_handle_irq,250Hz,20.0
"ObjectStartArray::object_starts_in_range(HeapWord*, HeapWord*) const",250Hz,42.0
psi_group_change,250Hz,23.0
Lspec/benchmarks/compress/Compress;::performAction,1000Hz,1.0
Lspec/benchmarks/compress/Decompressor;::decompress,1000Hz,2.0
Lspec/benchmarks/compress/Compressor;::output,1000Hz,3.0
native_write_msr,1000Hz,5.0
native_sched_clock,1000Hz,32.0
updateBytesCRC32,1000Hz,4.0
native_queued_spin_lock_slowpath,1000Hz,6.0
perf_adjust_freq_unthr_context,1000Hz,8.0
pv_native_write_cr2,1000Hz,29.0
nmi_restore,1000Hz,16.0
__memmove_sse2_unaligned_erms,1000Hz,11.0
SpinPause,1000Hz,7.0
sched_clock,1000Hz,127.0
nmi_handle,1000Hz,128.0
native_read_msr,1000Hz,10.0
arrayof_jint_fill,1000Hz,9.0
exc_nmi,1000Hz,139.0
default_do_nmi,1000Hz,246.0
end_repeat_nmi,1000Hz,67.0
nmi_cpu_backtrace,1000Hz,307.0
__memset_evex_unaligned_erms,1000Hz,12.0
intel_bts_enable_local,1000Hz,160.0
native_read_msr_safe,1000Hz,15.0
"CardTableExtension::scavenge_contents_parallel(ObjectStartArray*, MutableSpace*, HeapWord*, PSPromotionManager*, unsigned int, unsigned int)",1000Hz,13.0
xhci_ring_ep_doorbell,1000Hz,19.0
native_irq_return_iret,1000Hz,14.0
sync_regs,1000Hz,17.0
__intel_pmu_enable_all.constprop.0,1000Hz,51.0
intel_pmu_handle_irq,1000Hz,
"ObjectStartArray::object_starts_in_range(HeapWord*, HeapWord*) const",1000Hz,18.0
psi_group_change,1000Hz,20.0
