JVM1,JVM2,Benchmark,mean(JVM1),mean(JVM2),mean_diff,std_diff,t_stat,p_value,n
Tencent,Oracle Corporation,compress,868.7066666666666,853.9033333333333,14.803333333333361,6.226992318393622,4.117577819868857,0.05422842876041926,3
Tencent,Alibaba,compress,868.7066666666666,864.34,4.366666666666674,0.8372176140845206,9.033838274717146,0.01203265070307336,3
Tencent,BiSheng,compress,868.7066666666666,861.0033333333334,7.7033333333333,12.153885524116687,1.0978024019147488,0.38680495845158025,3
Oracle Corporation,Alibaba,compress,853.9033333333333,864.34,-10.436666666666687,5.997935756019167,-3.013843039280038,0.09471136469983868,3
Oracle Corporation,BiSheng,compress,853.9033333333333,861.0033333333334,-7.100000000000061,6.873303427028385,-1.7891776296941224,0.21548094796664824,3
Alibaba,BiSheng,compress,864.34,861.0033333333334,3.3366666666666256,11.602453763464558,0.49810809958033897,0.6677884994636032,3
Tencent,Oracle Corporation,crypto,1539.2966666666669,1524.466666666667,14.830000000000004,16.525292735682427,1.5543635980972965,0.26033373273672683,3
Tencent,Alibaba,crypto,1539.2966666666669,1535.04,4.256666666666736,17.89875507775143,0.41191484578255144,0.7203529654960084,3
Tencent,BiSheng,crypto,1539.2966666666669,1550.0533333333333,-10.75666666666666,16.154610281072596,-1.1532988331249416,0.3680054509654317,3
Oracle Corporation,Alibaba,crypto,1524.466666666667,1535.04,-10.573333333333267,13.299283188703651,-1.3770329031154296,0.3023740880761274,3
Oracle Corporation,BiSheng,crypto,1524.466666666667,1550.0533333333333,-25.586666666666662,3.146622527939119,-14.084119168885938,0.005003473442339546,3
Alibaba,BiSheng,crypto,1535.04,1550.0533333333333,-15.013333333333398,10.167872606073177,-2.5574529827182326,0.12488659233208954,3
Tencent,Oracle Corporation,derby,1596.8,1581.7066666666667,15.0933333333334,12.496008696113101,2.0920616194063633,0.17153200373966238,3
Tencent,Alibaba,derby,1596.8,1590.4800000000002,6.320000000000012,10.610603187378246,1.031662471070138,0.41065439881437393,3
Tencent,BiSheng,derby,1596.8,1561.5866666666664,35.213333333333445,17.050877787766062,3.577017159841077,0.07004318991889855,3
Oracle Corporation,Alibaba,derby,1581.7066666666667,1590.4800000000002,-8.773333333333388,23.056765456874874,-0.6590629164135453,0.577590065367841,3
Oracle Corporation,BiSheng,derby,1581.7066666666667,1561.5866666666664,20.120000000000044,6.13185942435089,5.683245462199247,0.029593004783190102,3
Alibaba,BiSheng,derby,1590.4800000000002,1561.5866666666664,28.89333333333343,27.103277169621734,1.8464453955202413,0.2061042039263717,3
